,EMD_KOR_NM,사업장명,도로명전체주소,X,Y,geometry
156,봉개동,번영약국,"제주특별자치도 제주시 번영로 500, 1층 (봉개동)",126.594819609272,33.490149872474,POINT (126.594819609272 33.490149872474)
157,도련일동,설약국,"제주특별자치도 제주시 건주로 31, 한라신협 삼화지점 1층 (도련일동)",126.580982878284,33.5167785217559,POINT (126.580982878284 33.5167785217559)
158,노형동,세원약국,"제주특별자치도 제주시 월랑로 5, 1층 (노형동)",126.478263449417,33.4866900263728,POINT (126.478263449417 33.4866900263728)
159,연동,에이스팜플러스약국,제주특별자치도 제주시 신대로14길 56 (연동),126.490481235438,33.487995336379,POINT (126.490481235438 33.487995336379)
160,서귀동,수정약국,제주특별자치도 서귀포시 태평로 424 (서귀동),126.565565546697,33.2451357035715,POINT (126.565565546697 33.2451357035715)
161,서귀동,서울약국,제주특별자치도 서귀포시 중정로 71 (서귀동),126.564015682772,33.2481821202082,POINT (126.564015682772 33.2481821202082)
162,동홍동,우리약국,제주특별자치도 서귀포시 일주동로 8538(동홍동),126.576054688698,33.2550355600957,POINT (126.576054688698 33.2550355600957)
163,서귀동,서귀포약국,제주특별자치도 서귀포시 중앙로 89 (서귀동),126.56042567209,33.2525963969071,POINT (126.56042567209 33.2525963969071)
164,용담이동,상아약국,제주특별자치도 제주시 흥운길 6 (용담이동),126.511053843623,33.5096992819115,POINT (126.511053843623 33.5096992819115)
165,노형동,대정약국,제주특별자치도 제주시 과원북4길 35 (노형동),126.486371601557,33.4812622296803,POINT (126.486371601557 33.4812622296803)
166,노형동,새봄약국,"제주특별자치도 제주시 1100로 3333, B호 (노형동)",126.480144305382,33.4836219692901,POINT (126.480144305382 33.4836219692901)
167,노형동,신행복약국,"제주특별자치도 제주시 노형8길 2 (노형동, 지하1층)",126.477346169156,33.4843262448719,POINT (126.477346169156 33.4843262448719)
168,용담일동,수성약국,제주특별자치도 제주시 서광로 173 (용담일동),126.514947797042,33.5002443677642,POINT (126.514947797042 33.5002443677642)
169,삼도일동,오즈약국,제주특별자치도 제주시 서광로 220 (삼도일동),126.52008091726,33.4995658930419,POINT (126.52008091726 33.4995658930419)
170,삼도일동,미래약국,제주특별자치도 제주시 서광로 215 (삼도일동),126.519524370686,33.5001243460011,POINT (126.519524370686 33.5001243460011)
171,연동,한라산약국,제주특별자치도 제주시 성신로 13-4 (연동),126.485210416351,33.4909836070888,POINT (126.485210416351 33.4909836070888)
172,일도이동,보람약국,제주특별자치도 제주시 고마로 53 (일도이동),126.53970403748,33.509500248517,POINT (126.53970403748 33.509500248517)
173,이도이동,더블유스토어 이도약국,제주특별자치도 제주시 중앙로 366 (이도이동),126.538473449487,33.4892179424257,POINT (126.538473449487 33.4892179424257)
