ctprvn_nm|signgu_nm|emd_nm|regist_se|inqire_ym|managt_cnt|ldadng_dt
서울특별시|서울특별시 동작구|서울특별시 동작구청|사망|201502|124|2017-11-21 16:58:47
서울특별시|서울특별시 동작구|서울특별시 동작구청|이혼|201502|31|2017-11-21 16:58:47
서울특별시|서울특별시 동작구|서울특별시 동작구청|출생|201502|285|2017-11-21 16:58:47
서울특별시|서울특별시 동작구|서울특별시 동작구청|혼인|201502|180|2017-11-21 16:58:47
서울특별시|서울특별시 마포구|서울특별시 마포구청|개명|201502|57|2017-11-21 16:58:47
서울특별시|서울특별시 마포구|서울특별시 마포구청|사망|201502|120|2017-11-21 16:58:47
서울특별시|서울특별시 마포구|서울특별시 마포구청|이혼|201502|52|2017-11-21 16:58:47
서울특별시|서울특별시 마포구|서울특별시 마포구청|출생|201502|259|2017-11-21 16:58:47
서울특별시|서울특별시 마포구|서울특별시 마포구청|혼인|201502|185|2017-11-21 16:58:47
서울특별시|서울특별시 서대문구|서울특별시 서대문구청|개명|201502|72|2017-11-21 16:58:47
서울특별시|서울특별시 서대문구|서울특별시 서대문구청|사망|201502|129|2017-11-21 16:58:47
서울특별시|서울특별시 서대문구|서울특별시 서대문구청|이혼|201502|32|2017-11-21 16:58:47
서울특별시|서울특별시 서대문구|서울특별시 서대문구청|출생|201502|166|2017-11-21 16:58:47
서울특별시|서울특별시 서대문구|서울특별시 서대문구청|혼인|201502|119|2017-11-21 16:58:47
서울특별시|서울특별시 서초구|서울특별시 서초구청|개명|201502|86|2017-11-21 16:58:47
서울특별시|서울특별시 서초구|서울특별시 서초구청|사망|201502|126|2017-11-21 16:58:47
서울특별시|서울특별시 서초구|서울특별시 서초구청|이혼|201502|148|2017-11-21 16:58:47
서울특별시|서울특별시 서초구|서울특별시 서초구청|출생|201502|326|2017-11-21 16:58:47
서울특별시|서울특별시 서초구|서울특별시 서초구청|혼인|201502|437|2017-11-21 16:58:47
서울특별시|서울특별시 성동구|서울특별시 성동구청|개명|201502|46|2017-11-21 16:58:47
서울특별시|서울특별시 성동구|서울특별시 성동구청|사망|201502|100|2017-11-21 16:58:47
서울특별시|서울특별시 성동구|서울특별시 성동구청|이혼|201502|38|2017-11-21 16:58:47
서울특별시|서울특별시 성동구|서울특별시 성동구청|출생|201502|224|2017-11-21 16:58:47
서울특별시|서울특별시 성동구|서울특별시 성동구청|혼인|201502|148|2017-11-21 16:58:47
서울특별시|서울특별시 성북구|서울특별시 성북구청|개명|201502|67|2017-11-21 16:58:47
서울특별시|서울특별시 성북구|서울특별시 성북구청|사망|201502|176|2017-11-21 16:58:47
서울특별시|서울특별시 성북구|서울특별시 성북구청|이혼|201502|33|2017-11-21 16:58:47
서울특별시|서울특별시 성북구|서울특별시 성북구청|출생|201502|277|2017-11-21 16:58:47
서울특별시|서울특별시 성북구|서울특별시 성북구청|혼인|201502|155|2017-11-21 16:58:47
서울특별시|서울특별시 송파구|서울특별시 송파구청|개명|201502|96|2017-11-21 16:58:47
서울특별시|서울특별시 송파구|서울특별시 송파구청|사망|201502|186|2017-11-21 16:58:47
서울특별시|서울특별시 송파구|서울특별시 송파구청|이혼|201502|80|2017-11-21 16:58:47
서울특별시|서울특별시 송파구|서울특별시 송파구청|출생|201502|462|2017-11-21 16:58:47
서울특별시|서울특별시 송파구|서울특별시 송파구청|혼인|201502|322|2017-11-21 16:58:47
